huccode,axis,value
1801020804,region,Klamath
1801020805,region,Klamath
1801020806,region,Klamath
1801020901,region,Klamath
1801020902,region,Klamath
1801020903,region,Klamath
1801020904,region,Klamath
1801020905,region,Klamath
1801020906,region,Klamath
1801020907,region,Klamath
1801020908,region,Klamath
1801020909,region,Klamath
1801020910,region,Klamath
1801021001,region,Klamath
1801021002,region,Klamath
1801021003,region,Klamath
1801021004,region,Klamath
1801021101,region,Klamath
1801021102,region,Klamath
1801021103,region,Klamath
1801021104,region,Klamath
1801021105,region,Klamath
1801021106,region,Klamath
1801021107,region,Klamath
1801021108,region,Klamath
1801021109,region,Klamath
1801021110,region,Klamath
1801021111,region,Klamath
1801021112,region,Klamath
1801021201,region,Klamath
1801021202,region,Klamath
1801021203,region,Klamath
1801021204,region,Klamath
1801021205,region,Klamath
1802000312,region,Klamath
1802000313,region,Klamath
1802000403,region,Klamath
1802000404,region,Klamath
1802000405,region,Klamath
1802000501,region,Klamath
1802000502,region,Klamath
1802000503,region,Klamath
1802000504,region,Klamath
1802011502,region,Klamath
1802011602,region,Klamath
1802015201,region,Klamath
1802015204,region,Klamath
1802015401,region,Klamath
1802015604,region,Klamath
